Date,HDFCBANK.NS,RELIANCE.NS,TCS.NS
2023-11-01 00:00:00+00:00,1474.5,1148.699951171875,3330.64990234375
2023-11-02 00:00:00+00:00,1476.75,1160.0999755859375,3360.10009765625
2023-11-03 00:00:00+00:00,1483.75,1159.8499755859375,3350.89990234375
2023-11-06 00:00:00+00:00,1494.5,1169.5,3380.25
2023-11-07 00:00:00+00:00,1487.25,1161.9000244140625,3370.449951171875
2023-11-08 00:00:00+00:00,1491.550048828125,1167.949951171875,3381.550048828125
2023-11-09 00:00:00+00:00,1485.6500244140625,1155.2750244140625,3347.449951171875
2023-11-10 00:00:00+00:00,1491.5,1157.449951171875,3333.449951171875
2023-11-13 00:00:00+00:00,1488.800048828125,1157.300048828125,3331.550048828125
2023-11-15 00:00:00+00:00,1504.4000244140625,1178.2249755859375,3404.300048828125
2023-11-16 00:00:00+00:00,1508.3499755859375,1180.3499755859375,3497.85009765625
2023-11-17 00:00:00+00:00,1505.0999755859375,1177.7750244140625,3502.449951171875
2023-11-20 00:00:00+00:00,1505.199951171875,1174.675048828125,3519.60009765625
2023-11-21 00:00:00+00:00,1517.949951171875,1189.449951171875,3510.199951171875
2023-11-22 00:00:00+00:00,1512.550048828125,1194.0999755859375,3530.14990234375
2023-11-23 00:00:00+00:00,1521.300048828125,1197.75,3508.25
2023-11-24 00:00:00+00:00,1532.0999755859375,1196.949951171875,3457.10009765625
2023-11-28 00:00:00+00:00,1528.6500244140625,1197.199951171875,3470.14990234375
2023-11-29 00:00:00+00:00,1559.1500244140625,1200.3499755859375,3513.75
2023-11-30 00:00:00+00:00,1558.800048828125,1188.7249755859375,3487.60009765625
2023-12-01 00:00:00+00:00,1555.4000244140625,1197.1500244140625,3511.64990234375
2023-12-04 00:00:00+00:00,1609.4000244140625,1210.0999755859375,3512.449951171875
2023-12-05 00:00:00+00:00,1623.699951171875,1218.875,3531.60009765625
2023-12-06 00:00:00+00:00,1627.800048828125,1230.550048828125,3604.10009765625
2023-12-07 00:00:00+00:00,1630.449951171875,1228.5250244140625,3614.89990234375
2023-12-08 00:00:00+00:00,1653.199951171875,1227.875,3626.699951171875
2023-12-11 00:00:00+00:00,1651.0,1229.675048828125,3642.89990234375
2023-12-12 00:00:00+00:00,1634.5999755859375,1212.0250244140625,3672.10009765625
2023-12-13 00:00:00+00:00,1630.9000244140625,1216.9749755859375,3593.550048828125
2023-12-14 00:00:00+00:00,1650.1500244140625,1232.074951171875,3667.25
2023-12-15 00:00:00+00:00,1656.550048828125,1247.800048828125,3861.0
2023-12-18 00:00:00+00:00,1655.699951171875,1260.5,3859.199951171875
2023-12-19 00:00:00+00:00,1652.9000244140625,1279.050048828125,3816.199951171875
2023-12-20 00:00:00+00:00,1657.0,1263.574951171875,3780.050048828125
2023-12-21 00:00:00+00:00,1686.699951171875,1281.2750244140625,3787.5
2023-12-22 00:00:00+00:00,1670.8499755859375,1282.5250244140625,3824.0
2023-12-26 00:00:00+00:00,1682.449951171875,1289.0250244140625,3795.550048828125
2023-12-27 00:00:00+00:00,1703.300048828125,1293.425048828125,3811.199951171875
2023-12-28 00:00:00+00:00,1705.25,1302.7750244140625,3799.89990234375
2023-12-29 00:00:00+00:00,1709.25,1292.4749755859375,3793.39990234375
2024-01-01 00:00:00+00:00,1698.0999755859375,1295.125,3811.10009765625
2024-01-02 00:00:00+00:00,1699.0999755859375,1305.8499755859375,3783.199951171875
2024-01-03 00:00:00+00:00,1672.9000244140625,1291.6500244140625,3691.75
2024-01-04 00:00:00+00:00,1690.8499755859375,1298.324951171875,3666.800048828125
2024-01-05 00:00:00+00:00,1682.199951171875,1303.8499755859375,3737.89990234375
2024-01-08 00:00:00+00:00,1663.449951171875,1293.675048828125,3678.300048828125
2024-01-09 00:00:00+00:00,1650.5,1290.25,3689.89990234375
2024-01-10 00:00:00+00:00,1655.949951171875,1325.050048828125,3713.050048828125
2024-01-11 00:00:00+00:00,1649.0,1359.9000244140625,3735.550048828125
2024-01-12 00:00:00+00:00,1641.199951171875,1370.7249755859375,3882.800048828125
2024-01-15 00:00:00+00:00,1672.800048828125,1394.125,3903.800048828125
2024-01-16 00:00:00+00:00,1679.1500244140625,1374.625,3861.300048828125
2024-01-17 00:00:00+00:00,1537.5,1361.574951171875,3884.60009765625
2024-01-18 00:00:00+00:00,1486.1500244140625,1367.949951171875,3902.60009765625
2024-01-19 00:00:00+00:00,1470.6500244140625,1367.449951171875,3943.050048828125
2024-01-23 00:00:00+00:00,1427.3499755859375,1328.574951171875,3858.25
2024-01-24 00:00:00+00:00,1455.9000244140625,1343.875,3841.800048828125
2024-01-25 00:00:00+00:00,1434.9000244140625,1353.074951171875,3810.300048828125
2024-01-29 00:00:00+00:00,1454.6500244140625,1448.050048828125,3801.0
2024-01-30 00:00:00+00:00,1444.300048828125,1407.625,3800.550048828125
2024-01-31 00:00:00+00:00,1462.550048828125,1426.625,3815.949951171875
2024-02-01 00:00:00+00:00,1466.3499755859375,1426.6500244140625,3854.14990234375
2024-02-02 00:00:00+00:00,1446.1500244140625,1457.699951171875,3966.300048828125
2024-02-05 00:00:00+00:00,1444.8499755859375,1439.0250244140625,3973.300048828125
2024-02-06 00:00:00+00:00,1444.0999755859375,1427.800048828125,4136.0
2024-02-07 00:00:00+00:00,1429.949951171875,1442.1500244140625,4083.39990234375
2024-02-08 00:00:00+00:00,1403.050048828125,1450.125,4134.10009765625
2024-02-09 00:00:00+00:00,1403.5999755859375,1460.75,4133.7001953125
